n, time_ns, comparisons, allocations, max_recursion_depth
1700, 2368200, 2187, 676, 11
1710, 2424300, 2208, 686, 11
1720, 2796600, 2213, 696, 11
1730, 2740600, 2227, 706, 11
1740, 2018600, 2200, 716, 11
1750, 1944000, 2257, 726, 11
1760, 2757900, 2226, 736, 11
1770, 2981800, 2220, 746, 11
1780, 2372100, 2243, 756, 11
1790, 2111300, 2182, 766, 11
1800, 2130600, 2207, 776, 11
1810, 2459200, 2224, 786, 11
1820, 2393700, 2231, 796, 11
1830, 2248600, 2251, 806, 11
1840, 2475900, 2257, 816, 11
1850, 3068500, 2270, 826, 11
1860, 2252500, 2252, 836, 11
1870, 2227800, 2263, 846, 11
1880, 2339200, 2273, 856, 11
1890, 2224900, 2286, 866, 11
1900, 2067600, 2210, 876, 11
1910, 2775000, 2253, 886, 11
1920, 2653100, 2227, 896, 11
1930, 8236700, 2273, 906, 11
1940, 2978600, 2250, 916, 11
1950, 2861400, 2231, 926, 11
1960, 3575000, 2308, 936, 11
1970, 3642400, 2308, 946, 11
1980, 3854100, 2267, 956, 11
1990, 3411300, 2310, 966, 11
2000, 4202500, 2307, 976, 11
2010, 3272900, 2286, 986, 11
2020, 3578800, 2292, 996, 11
2030, 4046100, 2320, 1006, 11
2040, 3143200, 2272, 1016, 11
2050, 3145900, 2309, 1024, 11
2060, 3053300, 2283, 1024, 11
2070, 2921100, 2327, 1024, 11
2080, 3895900, 2353, 1024, 11
2090, 3467000, 2374, 1024, 11
2100, 3346100, 2413, 1024, 11
2110, 4078000, 2486, 1024, 11
2120, 4175400, 2436, 1024, 11
2130, 3533400, 2461, 1024, 11
2140, 3899200, 2512, 1024, 11
2150, 3186300, 2533, 1024, 11
2160, 3408000, 2528, 1024, 11
2170, 2994600, 2553, 1024, 11
2180, 4357200, 2617, 1024, 11
2190, 5650200, 2593, 1024, 11
2200, 6148200, 2607, 1024, 11
2210, 4192700, 2614, 1024, 11
2220, 3405200, 2681, 1024, 11
2230, 3377700, 2638, 1024, 11
2240, 3451100, 2709, 1024, 11
2250, 4431300, 2694, 1024, 11
2260, 4111500, 2722, 1024, 11
2270, 4792800, 2738, 1024, 11
2280, 3525200, 2768, 1024, 11
2290, 5325000, 2783, 1024, 11
2300, 4650500, 2872, 1024, 11
2310, 4479900, 2797, 1024, 11
2320, 5103100, 2863, 1024, 11
2330, 3651200, 2875, 1024, 11
2340, 5130600, 2852, 1024, 11
2350, 4656900, 2893, 1024, 11
2360, 4031300, 2918, 1024, 11
2370, 3480000, 2919, 1024, 11
2380, 3447100, 2949, 1024, 11
2390, 4306500, 2965, 1024, 11
2400, 4690200, 2979, 1024, 11
2410, 4083200, 3034, 1024, 11
2420, 3173100, 3020, 1024, 11
2430, 3471600, 3028, 1024, 11
2440, 4014400, 3095, 1024, 11
2450, 5108400, 3121, 1024, 11
2460, 4371000, 3119, 1024, 11
2470, 4252400, 3138, 1024, 11
2480, 4811300, 3171, 1024, 11
2490, 4373400, 3157, 1024, 11
2500, 5041000, 3180, 1024, 11
2510, 3641400, 3206, 1024, 11
2520, 4071000, 3241, 1024, 11
2530, 3272000, 3231, 1024, 11
2540, 1925400, 3300, 1024, 11
2550, 1782000, 3259, 1024, 11
2560, 1722000, 3321, 1024, 11
2570, 2190600, 3336, 1024, 11
2580, 1823100, 3340, 1024, 11
2590, 1476900, 3384, 1024, 11
2600, 1507200, 3361, 1024, 11
2610, 1404000, 3399, 1024, 11
2620, 1516000, 3413, 1024, 11
2630, 1389900, 3438, 1024, 11
2640, 1377200, 3438, 1024, 11
2650, 1650500, 3521, 1024, 11
2660, 1679300, 3454, 1024, 11
2670, 1964200, 3525, 1024, 11
2680, 1726500, 3562, 1024, 11
2690, 1416500, 3585, 1024, 11
2700, 1466400, 3599, 1024, 11
2710, 1470100, 3657, 1024, 11
2720, 1506100, 3670, 1024, 11
2730, 1641300, 3698, 1024, 11
2740, 6911900, 3646, 1024, 11
2750, 2115200, 3661, 1024, 11
2760, 1923600, 3746, 1024, 11
2770, 2380900, 3742, 1024, 11
2780, 1642700, 3774, 1024, 11
2790, 1346300, 3803, 1024, 11
2800, 1285500, 3816, 1024, 11
2810, 1375600, 3765, 1024, 11
2820, 1307300, 3797, 1024, 11
2830, 1718700, 3826, 1024, 11
2840, 1500600, 3822, 1024, 11
2850, 1221600, 3893, 1024, 11
2860, 1465700, 3920, 1024, 11
2870, 1690800, 3935, 1024, 11
2880, 1622000, 3924, 1024, 11
2890, 1245200, 3913, 1024, 11
2900, 1379100, 4050, 1024, 11
2910, 1214300, 3971, 1024, 11
2920, 1516400, 4027, 1024, 11
2930, 1200900, 4053, 1024, 11
2940, 1289600, 4052, 1024, 11
2950, 1256900, 4104, 1024, 11
2960, 1477400, 4072, 1024, 11
2970, 1357200, 4156, 1024, 11
2980, 1242100, 4187, 1024, 11
2990, 1509500, 4168, 1024, 11
3000, 1773600, 4183, 1024, 11
3010, 1540200, 4224, 1024, 11
3020, 1465100, 4273, 1024, 11
3030, 1503900, 4281, 1024, 11
3040, 1453000, 4285, 1024, 11
3050, 1776400, 4309, 1024, 11
3060, 1802900, 4315, 1024, 11
3070, 1901700, 4279, 1024, 11
3080, 1859600, 4300, 1032, 12
3090, 1541800, 4344, 1042, 12
3100, 2193400, 4379, 1052, 12
3110, 1504600, 4353, 1062, 12
3120, 1367800, 4298, 1072, 12
3130, 1524400, 4381, 1082, 12
3140, 1585900, 4332, 1092, 12
3150, 1369900, 4344, 1102, 12
3160, 1813400, 4370, 1112, 12
3170, 1943000, 4410, 1122, 12
3180, 1759600, 4406, 1132, 12
3190, 1987800, 4332, 1142, 12
3200, 2237900, 4356, 1152, 12
3210, 1850400, 4404, 1162, 12
3220, 1894600, 4404, 1172, 12
3230, 1993200, 4397, 1182, 12
3240, 2029500, 4389, 1192, 12
3250, 1694100, 4404, 1202, 12
3260, 1406700, 4340, 1212, 12
3270, 1723600, 4366, 1222, 12
3280, 1483100, 4408, 1232, 12
3290, 1595100, 4381, 1242, 12
3300, 1598700, 4360, 1252, 12
3310, 1503700, 4399, 1262, 12
3320, 1748700, 4400, 1272, 12
3330, 1492700, 4397, 1282, 12
3340, 1451700, 4426, 1292, 12
3350, 1774900, 4404, 1302, 12
3360, 2060100, 4403, 1312, 12
3370, 3079200, 4399, 1322, 12
3380, 2828700, 4452, 1332, 12
3390, 2470500, 4419, 1342, 12
3400, 2253600, 4446, 1352, 12
3410, 2656400, 4424, 1362, 12
3420, 1851800, 4433, 1372, 12
3430, 2087700, 4469, 1382, 12
3440, 2376200, 4469, 1392, 12
3450, 2406900, 4498, 1402, 12
3460, 1884800, 4437, 1412, 12
3470, 2189800, 4489, 1422, 12
3480, 2052900, 4461, 1432, 12
3490, 2005400, 4475, 1442, 12
3500, 1934600, 4458, 1452, 12
3510, 1969800, 4462, 1462, 12
3520, 2097500, 4521, 1472, 12
3530, 1870200, 4494, 1482, 12
3540, 1907700, 4463, 1492, 12
3550, 2008400, 4488, 1502, 12
3560, 2240900, 4509, 1512, 12
3570, 2120500, 4495, 1522, 12
3580, 2139400, 4547, 1532, 12
3590, 1526500, 4480, 1542, 12
3600, 1589800, 4479, 1552, 12
3610, 1583500, 4487, 1562, 12
3620, 1571300, 4512, 1572, 12
3630, 1533300, 4551, 1582, 12
3640, 1526200, 4503, 1592, 12
3650, 1680600, 4533, 1602, 12
3660, 1566600, 4518, 1612, 12
3670, 1710300, 4533, 1622, 12
3680, 1570200, 4541, 1632, 12
3690, 1619300, 4556, 1642, 12
3700, 1519300, 4535, 1652, 12
3710, 1560800, 4542, 1662, 12
3720, 1611900, 4525, 1672, 12
3730, 1598800, 4557, 1682, 12
3740, 1638700, 4586, 1692, 12
3750, 1579800, 4521, 1702, 12
3760, 1622800, 4580, 1712, 12
3770, 1605000, 4529, 1722, 12
3780, 1877800, 4536, 1732, 12
3790, 1693700, 4606, 1742, 12
3800, 1625200, 4535, 1752, 12
3810, 1634400, 4578, 1762, 12
3820, 1627900, 4566, 1772, 12
3830, 1693300, 4561, 1782, 12
3840, 1673000, 4609, 1792, 12
3850, 1652900, 4547, 1802, 12
3860, 1642600, 4553, 1812, 12
3870, 1701400, 4604, 1822, 12
3880, 1725900, 4616, 1832, 12
3890, 1651100, 4591, 1842, 12
3900, 1786600, 4593, 1852, 12
3910, 1771000, 4640, 1862, 12
3920, 1642400, 4623, 1872, 12
3930, 1666800, 4575, 1882, 12
3940, 1657900, 4584, 1892, 12
3950, 1668300, 4547, 1902, 12
3960, 1738100, 4634, 1912, 12
3970, 1718900, 4573, 1922, 12
3980, 1722900, 4612, 1932, 12
3990, 1796600, 4632, 1942, 12
4000, 1785800, 4701, 1952, 12
4010, 1802200, 4671, 1962, 12
4020, 1791800, 4652, 1972, 12
4030, 1807500, 4565, 1982, 12
4040, 1913200, 4680, 1992, 12
4050, 1859200, 4647, 2002, 12
4060, 1744600, 4609, 2012, 12
4070, 1754900, 4592, 2022, 12
4080, 1799800, 4675, 2032, 12
4090, 1891500, 4690, 2042, 12
4100, 1701100, 4667, 2048, 12
4110, 1667800, 4661, 2048, 12
4120, 1714200, 4734, 2048, 12
4130, 1874800, 4712, 2048, 12
4140, 1714400, 4748, 2048, 12
4150, 1750800, 4750, 2048, 12
4160, 1726800, 4795, 2048, 12
4170, 1752800, 4807, 2048, 12
4180, 1807200, 4787, 2048, 12
4190, 1758000, 4821, 2048, 12
4200, 1940600, 4921, 2048, 12
4210, 2627000, 4954, 2048, 12
4220, 1831800, 4873, 2048, 12
4230, 1905600, 4878, 2048, 12
4240, 2616500, 4926, 2048, 12
4250, 2242000, 4940, 2048, 12
4260, 1892800, 4956, 2048, 12
4270, 1820200, 4955, 2048, 12
4280, 2299200, 5021, 2048, 12
4290, 1871700, 5028, 2048, 12
4300, 1985400, 5055, 2048, 12
4310, 1864400, 5075, 2048, 12
4320, 1978400, 5155, 2048, 12
4330, 1853500, 5099, 2048, 12
4340, 2084100, 5119, 2048, 12
4350, 1986200, 5221, 2048, 12
4360, 2486000, 5159, 2048, 12
4370, 2054200, 5125, 2048, 12
4380, 1994300, 5185, 2048, 12
4390, 2581300, 5190, 2048, 12
4400, 2075100, 5324, 2048, 12
4410, 2903600, 5342, 2048, 12
4420, 2306800, 5289, 2048, 12
4430, 2150600, 5377, 2048, 12
4440, 2027000, 5347, 2048, 12
4450, 2050500, 5418, 2048, 12
4460, 2073600, 5372, 2048, 12
4470, 2022400, 5429, 2048, 12
4480, 2056200, 5447, 2048, 12
4490, 2115700, 5532, 2048, 12
