n, time_ns, comparisons, allocations, max_recursion_depth
1950, 110700, 17264, 49, 8
1960, 123100, 17341, 56, 7
1970, 181700, 17753, 52, 8
1980, 118300, 17966, 61, 9
1990, 114600, 17684, 51, 7
2000, 114500, 19261, 62, 7
2010, 122200, 18452, 62, 7
2020, 122700, 18496, 66, 7
2030, 125700, 19179, 63, 7
2040, 159900, 18507, 67, 7
2050, 131000, 19846, 63, 8
2060, 124000, 19271, 58, 8
2070, 307300, 19470, 69, 8
2080, 171600, 18045, 62, 9
2090, 121400, 18907, 69, 8
2100, 118000, 19764, 71, 8
2110, 88400, 20637, 66, 7
2120, 91000, 20553, 71, 8
2130, 95200, 19453, 70, 8
2140, 91100, 20106, 74, 7
2150, 98900, 21762, 68, 8
2160, 37800, 7539, 5, 6
2170, 88500, 20636, 64, 7
2180, 94400, 21316, 66, 7
2190, 84700, 20968, 52, 8
2200, 95300, 20929, 68, 7
2210, 93800, 21057, 74, 8
2220, 90400, 21303, 68, 8
2230, 151800, 20163, 63, 9
2240, 106700, 21485, 64, 8
2250, 165200, 21611, 62, 8
2260, 90400, 21260, 64, 8
2270, 92600, 21595, 69, 7
2280, 95000, 22139, 75, 7
2290, 102700, 21686, 72, 8
2300, 100300, 19406, 55, 8
2310, 91500, 20952, 64, 9
2320, 98200, 22313, 75, 8
2330, 91800, 21473, 68, 8
2340, 98500, 22324, 70, 8
2350, 98500, 23615, 73, 8
2360, 99600, 23131, 73, 8
2370, 85300, 18409, 51, 8
2380, 102700, 21755, 70, 8
2390, 85800, 20533, 49, 7
2400, 99100, 22210, 73, 9
2410, 103100, 22268, 71, 8
2420, 105600, 21919, 65, 9
2430, 97900, 21226, 65, 9
2440, 108900, 23882, 68, 7
2450, 99700, 23501, 76, 8
2460, 97900, 23671, 74, 10
2470, 94300, 23195, 66, 8
2480, 99000, 24875, 75, 8
2490, 95400, 24331, 64, 9
2500, 95500, 22157, 71, 8
2510, 100800, 22607, 58, 9
2520, 94600, 23854, 71, 7
2530, 151700, 25439, 79, 7
2540, 307900, 24575, 76, 8
2550, 115400, 24075, 83, 8
2560, 90000, 23179, 53, 7
2570, 186600, 22222, 67, 8
2580, 142800, 23906, 75, 7
2590, 135500, 25678, 72, 7
2600, 138400, 23210, 51, 7
2610, 144400, 24487, 79, 9
2620, 134400, 21557, 54, 10
2630, 135200, 24502, 78, 8
2640, 137000, 21448, 57, 9
2650, 137000, 24789, 80, 8
2660, 148200, 25528, 70, 9
2670, 135000, 24427, 72, 9
2680, 140900, 24668, 62, 8
2690, 75100, 13063, 24, 7
2700, 103100, 22424, 63, 9
2710, 100700, 22594, 58, 8
2720, 110700, 26031, 75, 8
2730, 112300, 26111, 76, 8
2740, 117400, 24571, 85, 8
2750, 109200, 26447, 78, 8
2760, 114400, 26478, 81, 8
2770, 114800, 26642, 77, 7
2780, 116200, 25491, 80, 8
2790, 112200, 25081, 85, 8
2800, 111100, 27010, 78, 8
2810, 104800, 24459, 66, 7
2820, 149000, 26922, 73, 8
2830, 101800, 24169, 50, 7
2840, 110300, 25481, 76, 8
2850, 151900, 27186, 85, 8
2860, 170000, 26669, 74, 8
2870, 175600, 27177, 81, 8
2880, 147000, 25795, 64, 8
2890, 152900, 25952, 61, 8
2900, 161000, 27184, 82, 7
2910, 217800, 28108, 74, 8
2920, 217700, 26184, 86, 9
2930, 192500, 27606, 91, 8
2940, 151100, 30237, 77, 9
2950, 148300, 28229, 75, 8
2960, 186800, 29429, 86, 8
2970, 174800, 27431, 77, 7
2980, 154600, 29867, 77, 9
2990, 156000, 25570, 61, 9
3000, 156800, 28345, 69, 8
3010, 167500, 30719, 85, 8
3020, 259800, 27275, 82, 8
3030, 155900, 28016, 86, 8
3040, 143600, 28538, 72, 8
3050, 147100, 26929, 73, 8
3060, 163400, 29923, 83, 7
3070, 113400, 26295, 70, 8
3080, 143000, 30618, 81, 8
3090, 155800, 27847, 85, 8
3100, 131100, 28467, 80, 8
3110, 157400, 30975, 76, 7
3120, 152100, 29273, 74, 7
3130, 167800, 29534, 83, 9
3140, 171200, 30554, 80, 8
3150, 141600, 28088, 80, 8
3160, 510000, 31450, 90, 8
3170, 134300, 29885, 83, 8
3180, 118200, 27230, 63, 8
3190, 168600, 30111, 87, 9
3200, 290600, 29835, 90, 8
3210, 184500, 28148, 88, 9
3220, 175400, 32566, 81, 10
3230, 175000, 28663, 74, 10
3240, 140900, 30894, 84, 8
3250, 152400, 30338, 86, 8
3260, 136100, 31335, 77, 8
3270, 134700, 30963, 92, 8
3280, 134400, 30141, 83, 8
3290, 140900, 31841, 83, 10
3300, 150300, 30809, 93, 8
3310, 133500, 31914, 85, 8
3320, 141400, 31476, 86, 7
3330, 131200, 32459, 91, 8
3340, 171400, 32463, 86, 8
3350, 219400, 33011, 90, 7
3360, 189200, 33176, 92, 8
3370, 192700, 33899, 83, 7
3380, 188100, 30893, 85, 8
3390, 188700, 32229, 89, 8
3400, 185300, 31146, 76, 9
3410, 301400, 33456, 89, 8
3420, 204800, 35039, 94, 8
3430, 188200, 31446, 95, 9
3440, 432200, 31117, 89, 10
3450, 189500, 32977, 76, 8
3460, 298200, 36384, 85, 7
3470, 232500, 31994, 92, 9
3480, 187200, 32431, 83, 9
3490, 191600, 32112, 80, 7
3500, 196100, 32606, 89, 8
3510, 198000, 33211, 95, 9
3520, 99500, 18634, 35, 8
3530, 273300, 34322, 88, 9
3540, 218400, 35409, 98, 8
3550, 204300, 35915, 86, 9
3560, 190000, 30602, 78, 8
3570, 157600, 35110, 93, 8
3580, 176900, 32785, 94, 8
3590, 170300, 35570, 89, 10
3600, 210300, 33421, 95, 9
3610, 270000, 32658, 88, 7
3620, 223600, 34158, 81, 8
3630, 171900, 31342, 71, 8
3640, 210900, 34579, 89, 8
3650, 221800, 35343, 101, 10
3660, 203500, 33058, 91, 8
3670, 191200, 34157, 82, 10
3680, 221600, 31699, 77, 8
3690, 211700, 37225, 94, 8
3700, 200700, 34488, 93, 8
3710, 228000, 36198, 95, 8
3720, 250400, 37938, 102, 8
3730, 204300, 35598, 88, 8
3740, 281700, 35603, 87, 8
3750, 274500, 37630, 93, 8
3760, 277700, 36494, 87, 9
3770, 252700, 34578, 87, 8
3780, 253900, 34131, 93, 7
3790, 268700, 35708, 95, 8
3800, 258700, 37356, 100, 7
3810, 264500, 36796, 103, 8
3820, 261700, 36237, 92, 10
3830, 241600, 35197, 85, 8
3840, 175300, 31092, 79, 8
3850, 198200, 37102, 91, 9
3860, 187200, 37191, 86, 8
3870, 191700, 34447, 94, 9
3880, 261900, 35400, 83, 7
3890, 242600, 35845, 101, 8
3900, 203700, 35698, 81, 9
3910, 223900, 37805, 98, 8
3920, 196000, 38949, 97, 8
3930, 171700, 39112, 88, 9
3940, 164000, 36484, 85, 9
3950, 258600, 38128, 87, 9
3960, 164500, 36622, 96, 8
3970, 212800, 36347, 93, 9
3980, 223300, 36878, 91, 9
3990, 177100, 38530, 97, 7
4000, 175800, 41205, 96, 9
4010, 162500, 35496, 71, 9
4020, 242900, 40470, 95, 8
4030, 240000, 38136, 90, 10
4040, 320400, 36973, 102, 8
4050, 212300, 35606, 91, 9
4060, 230200, 38250, 98, 9
4070, 198200, 38842, 105, 8
4080, 188500, 38766, 94, 9
4090, 197800, 40231, 99, 9
4100, 163300, 37486, 92, 8
4110, 168700, 40025, 101, 8
4120, 157500, 39687, 88, 8
4130, 155300, 39169, 86, 7
4140, 176100, 39953, 96, 9
4150, 149500, 38471, 81, 8
4160, 175700, 39536, 104, 9
4170, 159700, 39976, 98, 8
4180, 176800, 37559, 88, 8
4190, 155400, 37423, 83, 8
4200, 160000, 40638, 100, 8
4210, 159900, 40777, 97, 9
4220, 163100, 39337, 93, 9
4230, 169100, 39624, 101, 8
4240, 160100, 38912, 90, 8
4250, 156600, 38665, 86, 8
4260, 134100, 33187, 59, 9
4270, 163300, 38384, 99, 8
4280, 166900, 41072, 101, 9
4290, 171900, 42841, 96, 8
4300, 161700, 39999, 98, 8
4310, 163100, 39470, 105, 8
4320, 169500, 41732, 101, 9
4330, 160100, 38884, 96, 9
4340, 166300, 43102, 102, 9
4350, 165900, 39378, 113, 8
4360, 169800, 41531, 108, 9
4370, 165800, 41089, 105, 9
4380, 166100, 40926, 97, 9
4390, 169100, 40278, 92, 9
4400, 174800, 40244, 105, 11
4410, 159200, 41133, 87, 8
4420, 233300, 43068, 96, 9
4430, 145800, 36884, 70, 8
4440, 170200, 44011, 104, 9
4450, 170000, 42681, 110, 8
4460, 172600, 41976, 109, 9
4470, 169100, 42203, 107, 8
4480, 164800, 42102, 94, 8
4490, 176800, 43798, 114, 11
4500, 158000, 41621, 77, 8
4510, 160200, 38248, 93, 8
4520, 187700, 45551, 114, 8
4530, 166700, 40414, 86, 7
4540, 168500, 44192, 97, 9
4550, 164800, 36699, 87, 10
4560, 156200, 38103, 82, 8
