n, time_ns, comparisons, allocations, max_recursion_depth
1850, 164800, 22306, 13160, 7
1860, 163500, 23740, 16554, 7
1870, 157700, 25000, 13747, 6
1880, 156700, 24169, 13632, 7
1890, 159500, 25032, 14210, 7
1900, 165600, 24124, 13504, 6
1910, 213400, 24153, 14031, 7
1920, 211800, 23145, 14634, 7
1930, 170900, 23556, 14851, 7
1940, 167600, 22846, 14410, 7
1950, 141700, 24867, 15043, 7
1960, 155800, 23182, 13256, 7
1970, 139400, 23071, 14221, 7
1980, 132800, 23618, 14315, 7
1990, 132900, 24940, 14673, 7
2000, 127800, 26821, 14297, 6
2010, 144000, 23303, 14445, 7
2020, 131600, 24865, 14996, 7
2030, 133800, 25710, 14508, 7
2040, 139700, 25366, 14371, 8
2050, 164600, 25653, 15947, 7
2060, 143600, 24197, 14068, 7
2070, 133600, 26784, 13742, 7
2080, 157100, 29191, 17488, 7
2090, 452400, 24856, 16367, 7
2100, 212000, 26447, 17796, 6
2110, 179500, 27187, 18361, 8
2120, 168500, 27369, 17485, 7
2130, 167600, 27119, 14455, 7
2140, 147400, 25733, 15089, 7
2150, 188900, 26311, 17496, 7
2160, 178700, 27044, 16735, 6
2170, 164600, 27188, 16443, 6
2180, 152300, 28486, 18236, 6
2190, 166700, 26512, 16229, 7
2200, 176600, 25340, 15992, 7
2210, 193300, 29962, 17278, 7
2220, 181900, 29123, 17218, 7
2230, 189300, 26896, 15457, 7
2240, 270000, 27604, 17113, 8
2250, 213700, 29272, 17882, 6
2260, 210600, 30725, 19748, 6
2270, 164500, 28814, 18180, 7
2280, 161200, 26502, 16075, 8
2290, 159400, 27434, 16752, 7
2300, 155500, 30157, 19665, 7
2310, 170300, 27874, 17099, 7
2320, 260800, 29256, 19530, 7
2330, 164600, 30615, 18679, 7
2340, 176400, 29716, 19374, 7
2350, 154700, 29465, 18394, 7
2360, 170500, 27788, 16919, 7
2370, 153100, 30124, 16879, 7
2380, 177800, 29894, 19475, 7
2390, 159400, 29761, 16514, 6
2400, 170100, 28796, 18401, 7
2410, 162100, 29193, 18363, 8
2420, 160200, 29638, 18443, 7
2430, 163300, 29964, 18707, 7
2440, 163100, 30925, 19295, 8
2450, 163700, 32584, 21012, 7
2460, 162600, 31135, 18706, 7
2470, 168600, 32888, 19927, 7
2480, 164000, 31261, 20714, 7
2490, 163500, 32283, 18900, 7
2500, 170600, 33492, 21108, 7
2510, 172200, 31128, 18798, 7
2520, 165000, 35364, 18958, 7
2530, 170000, 31864, 17373, 7
2540, 172500, 33097, 18043, 7
2550, 171600, 33181, 19871, 7
2560, 170600, 31862, 19444, 7
2570, 185800, 31433, 20390, 7
2580, 239700, 31875, 20405, 8
2590, 223500, 33028, 21532, 7
2600, 230200, 34005, 21720, 7
2610, 226800, 32530, 19579, 8
2620, 238900, 33054, 19334, 7
2630, 238200, 34519, 22314, 8
2640, 222200, 35429, 21174, 7
2650, 217500, 33995, 18977, 7
2660, 220700, 34590, 21974, 7
2670, 203300, 34240, 22653, 7
2680, 203600, 35024, 21453, 8
2690, 186800, 36994, 22306, 7
2700, 203400, 38461, 25482, 7
2710, 194500, 35805, 21938, 8
2720, 189900, 35166, 19762, 7
2730, 184600, 35045, 21870, 7
2740, 185000, 35594, 21374, 7
2750, 188600, 32490, 19380, 8
2760, 194500, 34845, 22176, 7
2770, 188100, 37805, 25277, 7
2780, 192100, 37778, 22983, 7
2790, 199000, 36009, 22380, 7
2800, 207400, 36695, 22345, 7
